ID,順位2012,選手名2012,チーム2012,防御率2012,試合2012,勝利2012,敗北2012,セlブ2012,ホlルド2012,勝率2012,打者2012,投球回2012,被安打2012,被本塁打2012,与四球2012,与死球2012,奪三振2012,失点2012,自責点2012,WHIP2012,DIPS2012
585,1,岩本　輝,阪神,0.00,3,2,1,0,0,0.667,76,18.2,11,0,11,1,11,1,0,1.18,3.87
569,1,根本　朋久,日本ハム,0.00,7,0,0,0,0,0.0,44,12.1,8,0,4,0,6,0,0,0.97,3.12
586,1,林　昌勇,ヤクルト,0.00,9,0,0,0,3,0.0,28,7.0,6,0,2,0,7,0,0,1.14,1.98
392,1,松岡　健一,ヤクルト,0.00,7,0,0,0,2,0.0,29,6.1,8,0,2,1,5,0,0,1.58,2.96
704,1,野間口　貴彦,巨人,0.00,3,0,0,0,0,0.0,11,3.0,2,0,1,0,2,0,0,1.00,2.79
294,1,川原　弘之,ソフトバンク,0.00,2,0,0,0,0,0.0,10,3.0,1,0,0,0,3,0,0,0.33,1.12
700,1,三瀬　幸司,中日,0.00,2,0,0,0,1,0.0,12,3.0,3,0,0,0,5,0,0,1.00,-0.21
122,1,宮田　和希,西武,0.00,3,0,0,0,0,0.0,12,2.2,0,0,3,1,4,0,0,1.13,4.62
369,1,鴨志田　貴司,オリックス,0.00,2,0,0,0,0,0.0,8,2.1,0,0,2,0,1,0,0,0.86,4.83
26,1,桑原　謙太朗,オリックス,0.00,2,0,0,0,0,0.0,8,2.0,0,0,1,1,1,0,0,0.50,5.12
325,1,伊藤　拓郎,DeNA,0.00,2,0,0,0,1,0.0,9,2.0,1,0,2,0,2,0,0,1.50,4.12
279,1,木田　優夫,日本ハム,0.00,1,0,0,0,0,0.0,5,1.0,2,0,1,0,0,0,0,3.00,6.12
575,1,糸数　敬作,日本ハム,0.00,1,0,0,0,0,0.0,3,0.1,1,0,1,0,0,0,0,6.00,12.12
681,1,大島　崇行,広島,0.00,1,0,0,0,0,0.0,2,0.1,0,0,1,0,0,0,0,3.00,12.12
725,16,有銘　兼久,楽天,-,1,0,0,0,0,0.0,1,0.0,0,0,1,0,0,0,0,-,-
503,17,南　昌輝,ロッテ,0.36,26,1,0,0,6,1.0,110,25.0,19,0,15,1,22,1,1,1.36,3.28
153,18,横山　竜士,広島,0.42,23,2,0,0,5,1.0,86,21.2,11,0,9,3,15,2,1,0.92,3.12
905,19,高木　京介,巨人,0.57,34,2,0,1,10,1.0,121,31.1,16,0,10,1,28,2,2,0.83,2.39
514,20,加藤　康介,阪神,0.83,41,0,0,0,7,0.0,120,32.2,15,1,11,1,34,4,3,0.80,2.54
293,21,山口　鉄也,巨人,0.84,72,3,2,5,44,0.6,277,75.1,47,1,7,3,68,7,7,0.72,1.81
348,22,伊藤　準規,中日,0.93,2,1,0,0,0,1.0,35,9.2,3,0,5,0,3,1,1,0.83,4.05
559,23,岡島　秀樹,ソフトバンク,0.94,56,0,2,9,24,0.0,181,47.2,34,1,6,0,36,6,5,0.84,2.26
713,24,土屋　朋弘,楽天,1.04,8,1,0,0,0,1.0,31,8.2,5,0,3,0,2,1,1,0.92,3.70
435,25,武田　翔太,ソフトバンク,1.07,11,8,1,0,0,0.889,262,67.0,40,1,26,1,67,9,8,0.99,2.52
184,26,西村　健太朗,巨人,1.14,69,3,2,32,12,0.6,276,71.1,41,3,22,2,58,15,9,0.88,2.84
625,27,田島　慎二,中日,1.15,56,5,3,0,30,0.625,274,70.2,50,1,17,3,56,10,9,0.95,2.57
680,27,高堀　和也,楽天,1.15,13,3,0,0,2,1.0,59,15.2,10,0,1,3,12,2,2,0.70,2.35
201,29,藤岡　好明,ソフトバンク,1.19,39,1,0,0,8,1.0,175,45.1,36,0,9,0,34,8,6,0.99,2.22
679,30,山本　哲哉,ヤクルト,1.21,50,2,2,0,17,0.5,183,44.2,41,1,15,3,38,6,6,1.25,2.92
689,31,西川　健太郎,中日,1.29,3,0,0,0,0,0.0,24,7.0,1,1,2,0,4,1,1,0.43,4.69
519,32,前田　祐二,オリックス,1.30,5,3,2,0,0,0.6,122,27.2,28,0,12,1,19,10,4,1.45,3.16
666,33,小林正,中日,1.31,41,2,0,0,14,1.0,89,20.2,16,1,5,3,17,3,3,1.02,3.12
100,34,藤川　球児,阪神,1.32,48,2,2,24,2,0.5,189,47.2,34,1,15,1,58,7,7,1.03,1.84
331,35,森福　允彦,ソフトバンク,1.39,65,2,5,17,24,0.28600000000000003,235,58.1,40,1,17,3,55,12,9,0.98,2.33
614,36,山井　大介,中日,1.43,56,4,3,15,13,0.5710000000000001,385,101.0,71,3,23,2,80,20,16,0.93,2.63
853,37,高木　康成,巨人,1.44,40,3,1,0,6,0.75,169,43.2,34,0,8,0,25,9,7,0.96,2.46
810,38,陽　耀勲,ソフトバンク,1.48,9,2,3,0,1,0.4,168,42.2,24,1,18,4,45,10,7,0.98,2.86
599,39,浅尾　拓也,中日,1.50,29,1,0,1,15,1.0,120,30.0,21,0,9,0,29,6,5,1.00,2.09
407,40,前田　健太,広島,1.53,29,14,7,0,0,0.667,820,206.1,161,6,44,9,171,46,35,0.99,2.60
832,41,ファルケンボーグ,ソフトバンク,1.57,23,0,1,13,4,0.0,88,23.0,14,1,8,0,26,4,4,0.96,2.47
688,42,石井　裕也,日本ハム,1.59,18,2,1,0,6,0.667,65,17.0,8,2,6,0,18,3,3,0.82,3.59
20,43,福田　聡志,巨人,1.61,50,8,1,0,17,0.889,236,61.2,32,2,26,0,51,11,11,0.94,3.15
164,44,益田　直也,ロッテ,1.67,72,2,2,1,41,0.5,308,75.1,61,2,19,2,57,25,14,1.06,2.67
303,45,ウィリアムス,西武,1.70,55,4,3,4,25,0.5710000000000001,185,42.1,30,0,23,7,41,11,8,1.25,3.17
211,46,吉川　光夫,日本ハム,1.71,25,14,5,0,0,0.737,668,173.2,108,6,45,4,158,35,33,0.88,2.58
312,46,マシソン,巨人,1.71,40,2,0,10,8,1.0,165,42.0,30,1,11,1,48,9,8,0.98,2.00
499,48,金　無英,ソフトバンク,1.72,29,1,1,0,3,0.5,132,31.1,31,1,7,0,28,10,6,1.21,2.42
548,49,山口　俊,DeNA,1.74,60,1,2,22,3,0.33299999999999996,258,62.0,46,1,22,5,62,13,12,1.10,2.44
523,50,吉見　一起,中日,1.75,19,13,4,0,0,0.765,529,138.2,121,5,13,0,76,28,27,0.97,2.77
232,51,福原　忍,阪神,1.76,60,2,4,1,18,0.33299999999999996,216,51.0,48,2,12,4,43,13,10,1.18,2.83
262,52,中村　勝,日本ハム,1.79,8,2,2,0,0,0.5,184,45.1,36,2,16,1,29,10,9,1.15,3.54
616,53,大原　慎司,DeNA,1.80,33,1,0,0,5,1.0,143,35.0,31,2,15,0,20,7,7,1.31,3.75
14,53,内　竜也,ロッテ,1.80,27,1,1,4,9,0.5,102,25.0,23,2,4,3,23,7,5,1.08,2.80
764,53,八木　亮祐,ヤクルト,1.80,3,1,0,0,0,1.0,65,15.0,10,1,11,1,13,4,3,1.40,4.65
172,53,比嘉　幹貴,オリックス,1.80,12,1,0,0,1,1.0,34,10.0,8,0,0,0,5,2,2,0.80,2.12
698,53,歳内　宏明,阪神,1.80,1,0,0,0,0,0.0,21,5.0,4,0,2,0,3,1,1,1.20,3.12
641,58,バーネット,ヤクルト,1.82,57,1,2,33,3,0.33299999999999996,213,54.1,44,4,11,2,52,15,11,1.01,2.88
373,59,ソーサ,中日,1.85,53,5,1,4,21,0.833,260,63.1,54,1,19,1,50,17,13,1.15,2.50
462,60,宮國　椋丞,巨人,1.86,17,6,2,0,0,0.75,386,97.0,76,4,28,3,54,27,20,1.07,3.47
382,61,田中　将大,楽天,1.87,22,10,4,0,0,0.7140000000000001,696,173.0,160,4,19,2,169,45,36,1.03,1.83
105,61,小山　雄輝,巨人,1.87,10,2,2,0,1,0.5,168,43.1,29,1,11,0,28,11,9,0.92,2.89
358,63,今村　猛,広島,1.89,69,2,2,4,26,0.5,344,85.2,73,4,18,4,89,21,18,1.06,2.35
379,63,鶴　直人,阪神,1.89,43,1,0,0,5,1.0,223,57.0,40,3,16,1,30,13,12,0.98,3.59
894,65,攝津　正,ソフトバンク,1.91,27,17,5,0,0,0.773,770,193.1,148,8,54,2,153,46,41,1.04,2.94
747,65,林　昌範,DeNA,1.91,32,0,0,0,4,0.0,132,33.0,26,2,12,0,26,7,7,1.15,3.33
190,67,内海　哲也,巨人,1.98,28,15,6,0,0,0.7140000000000001,757,186.0,173,8,40,9,121,47,41,1.15,3.15
902,67,野村　祐輔,広島,1.98,27,9,11,0,0,0.45,704,172.2,143,6,52,2,103,46,38,1.13,3.32
45,69,小山　伸一郎,楽天,1.99,57,1,2,0,25,0.33299999999999996,202,49.2,34,3,21,2,42,13,11,1.11,3.60
401,70,大隣　憲司,ソフトバンク,2.03,25,12,8,0,0,0.6,705,177.1,147,9,46,4,134,45,40,1.09,3.11
194,71,杉内　俊哉,巨人,2.04,24,12,4,0,0,0.75,634,163.0,116,6,43,3,172,42,37,0.98,2.33
299,72,渡辺　亮,阪神,2.06,50,0,0,0,4,0.0,239,52.1,50,3,31,2,33,18,12,1.55,4.50
833,73,河内　貴哉,広島,2.08,28,1,0,0,3,1.0,73,17.1,12,2,8,0,13,6,4,1.15,4.50
511,74,平野　佳寿,オリックス,2.15,70,7,4,9,21,0.636,307,79.2,65,4,5,2,80,21,19,0.88,1.99
352,75,矢地　健人,中日,2.16,5,0,0,0,0,0.0,33,8.1,5,1,2,0,7,3,2,0.84,3.72
767,76,ソト,中日,2.17,18,4,1,0,3,0.8,246,62.1,45,3,21,1,48,16,15,1.06,3.22
413,76,マエストリ,オリックス,2.17,8,4,3,0,0,0.5710000000000001,204,49.2,45,0,12,4,40,17,12,1.15,2.48
645,78,グライシンガー,ロッテ,2.24,25,12,8,0,0,0.6,666,168.2,144,5,24,5,112,52,42,1.00,2.69
524,79,館山　昌平,ヤクルト,2.25,25,12,8,0,1,0.6,676,168.1,141,7,45,6,119,45,42,1.10,3.10
489,79,宮西　尚生,日本ハム,2.25,66,2,2,0,39,0.5,244,60.0,51,4,14,4,56,18,15,1.08,2.97
808,81,岩瀬　仁紀,中日,2.29,54,1,3,33,6,0.25,207,51.0,44,3,13,2,30,15,13,1.12,3.41
632,82,武田　久,日本ハム,2.32,56,4,4,32,3,0.5,230,54.1,56,2,19,0,34,14,14,1.38,3.23
672,83,久保　康友,阪神,2.33,18,4,7,0,0,0.364,442,108.0,99,7,25,5,65,31,28,1.15,3.59
50,84,榎田　大樹,阪神,2.34,48,3,3,2,21,0.5,188,42.1,36,2,20,8,37,13,11,1.32,3.76
564,85,武田　勝,日本ハム,2.36,28,11,7,0,0,0.611,709,182.2,159,10,30,4,90,50,48,1.03,3.39
615,85,大竹　寛,広島,2.36,24,11,5,0,0,0.688,618,144.2,144,6,43,5,85,44,38,1.29,3.46
863,87,菊地　和正,DeNA,2.37,63,3,2,1,14,0.6,204,49.1,34,2,24,2,19,15,13,1.18,4.21
161,88,大場　翔太,ソフトバンク,2.38,10,2,5,0,0,0.28600000000000003,186,45.1,30,1,16,4,41,16,12,1.01,2.92
135,89,金子　千尋,オリックス,2.40,9,4,3,0,0,0.5710000000000001,265,63.2,65,2,15,1,56,19,17,1.26,2.52
119,89,中澤　雅人,ヤクルト,2.40,3,2,0,0,0,1.0,66,15.0,15,0,5,2,8,4,4,1.33,3.45
337,91,能見　篤史,阪神,2.42,29,10,10,0,0,0.5,737,182.0,157,14,37,3,172,61,49,1.07,2.86
903,91,岸田　護,オリックス,2.42,52,4,2,18,3,0.667,214,52.0,49,5,13,0,49,15,14,1.19,3.00
355,93,牧田　和久,西武,2.43,27,13,9,0,0,0.591,739,178.0,175,4,36,9,108,55,48,1.19,2.96
6,93,山内　壮馬,中日,2.43,24,10,7,0,0,0.588,589,148.0,128,8,32,4,68,42,40,1.08,3.61
633,95,金澤　健人,ソフトバンク,2.44,49,1,0,0,7,1.0,184,44.1,36,2,14,3,28,18,12,1.13,3.46
603,96,岸　孝之,西武,2.45,26,11,12,0,0,0.478,729,187.2,141,9,40,4,150,52,51,0.96,2.85
217,96,ホールトン,巨人,2.45,25,12,8,0,0,0.6,630,158.0,116,11,44,8,132,46,43,1.01,3.32
582,96,江柄子　裕樹,巨人,2.45,7,0,2,0,0,0.0,65,14.2,12,2,7,1,14,7,4,1.30,4.62
446,96,鄭　凱文,阪神,2.45,10,0,0,0,1,0.0,48,11.0,10,1,4,0,6,3,3,1.27,4.30
653,100,中郷　大樹,ロッテ,2.51,44,3,1,0,6,0.75,276,68.0,54,4,18,5,36,21,19,1.06,3.80
384,100,青山　浩二,楽天,2.51,61,5,4,22,2,0.556,260,64.2,48,2,19,4,54,18,18,1.04,2.92
388,102,メッセンジャー,阪神,2.52,30,10,11,0,0,0.47600000000000003,801,196.2,165,7,65,4,166,65,55,1.17,2.87
897,103,辛島　航,楽天,2.53,16,8,5,0,0,0.615,414,103.1,87,4,22,5,79,30,29,1.05,2.88
776,103,長田　秀一郎,西武,2.53,53,2,1,1,26,0.667,181,46.1,28,5,11,2,26,16,13,0.84,4.11
758,105,中崎　翔太,広島,2.57,12,0,1,0,1,0.0,84,21.0,15,1,8,1,14,7,6,1.10,3.69
491,106,木佐貫　洋,オリックス,2.60,24,5,9,0,0,0.35700000000000004,628,152.1,138,8,42,3,96,47,44,1.18,3.41
2,107,大野　雄大,中日,2.62,9,4,3,0,1,0.5710000000000001,188,44.2,40,1,14,3,41,15,13,1.21,2.65
83,108,ウルフ,日本ハム,2.66,26,10,9,0,0,0.526,628,149.0,155,2,40,6,83,49,44,1.31,3.05
140,108,唐川　侑己,ロッテ,2.66,12,8,2,0,0,0.8,341,84.2,81,4,15,2,32,26,25,1.13,3.55
622,110,スタンリッジ,阪神,2.69,25,7,12,0,0,0.368,619,150.1,134,8,45,11,102,50,45,1.19,3.53
526,111,十亀　剣,西武,2.72,41,6,0,0,9,1.0,223,53.0,50,4,17,3,41,16,16,1.26,3.57
314,112,岩田　慎司,中日,2.74,20,5,5,0,0,0.5,438,108.1,87,11,26,7,84,36,33,1.04,3.80
552,113,大石　達也,西武,2.75,24,1,1,0,1,0.5,160,36.0,39,2,12,4,24,15,11,1.42,3.84
109,114,増井　浩俊,日本ハム,2.76,73,5,5,7,45,0.5,298,71.2,65,2,25,0,69,26,22,1.26,2.52
850,115,上野　大樹,ロッテ,2.77,5,0,1,0,0,0.0,104,26.0,24,2,6,2,11,9,8,1.15,4.20
52,116,山田　大樹,ソフトバンク,2.78,24,8,10,0,0,0.444,623,148.2,129,10,57,9,83,51,46,1.25,4.21
242,116,西　勇輝,オリックス,2.78,19,8,3,0,0,0.727,503,123.0,106,3,33,5,87,41,38,1.13,2.95
218,118,ミコライオ,広島,2.79,61,3,5,21,15,0.375,227,58.0,42,4,14,3,54,19,18,0.97,3.03
422,118,ラズナー,楽天,2.79,46,1,3,6,17,0.25,174,42.0,36,3,12,0,32,15,13,1.14,3.38
9,120,今井　啓介,広島,2.81,24,4,8,1,1,0.33299999999999996,405,96.0,86,8,34,1,70,35,30,1.25,3.84
412,121,成瀬　善久,ロッテ,2.83,28,12,11,0,0,0.522,806,200.2,176,21,34,2,122,71,63,1.05,3.79
571,121,中田　賢一,中日,2.83,22,7,10,0,0,0.41200000000000003,562,140.0,119,6,33,9,106,46,44,1.09,3.02
317,121,川井　貴志,楽天,2.83,8,2,1,0,1,0.667,127,28.2,32,4,6,4,10,10,9,1.33,5.28
62,121,川上　憲伸,中日,2.83,7,3,1,0,0,0.75,121,28.2,25,3,10,2,17,10,9,1.22,4.55
155,125,正田　樹,ヤクルト,2.84,24,0,0,0,3,0.0,108,25.1,31,0,5,2,14,9,8,1.42,2.84
270,125,甲藤　啓介,ソフトバンク,2.84,6,0,1,0,0,0.0,29,6.1,5,0,5,0,3,2,2,1.58,4.54
318,127,三浦　大輔,DeNA,2.86,25,9,9,0,0,0.5,738,182.2,160,15,48,3,107,61,58,1.14,3.79
292,127,澤村　拓一,巨人,2.86,27,10,10,0,0,0.5,716,169.2,172,12,54,4,138,56,54,1.33,3.44
640,127,加賀　繁,DeNA,2.86,61,0,2,0,26,0.0,175,44.0,34,4,11,2,45,14,14,1.02,3.01
500,127,ＭＩＣＨＥＡＬ,西武,2.86,17,0,3,1,4,0.0,96,22.0,22,1,7,2,20,12,7,1.32,2.98
743,131,中山　慎也,オリックス,2.87,53,1,7,0,14,0.125,447,106.2,105,4,30,3,93,39,34,1.27,2.79
827,132,菊池　保則,楽天,2.88,4,1,1,0,0,0.5,110,25.0,30,2,5,1,24,9,8,1.40,2.96
271,133,サファテ,広島,2.90,47,2,5,9,4,0.28600000000000003,221,49.2,43,1,24,6,44,24,16,1.35,3.42
269,134,山本昌,中日,2.94,13,3,2,0,0,0.6,264,67.1,52,4,19,2,40,22,22,1.05,3.55
855,135,榊原　諒,日本ハム,2.95,17,0,0,0,2,0.0,94,21.1,23,2,8,0,18,9,7,1.45,3.78
368,136,野上　亮磨,西武,2.97,23,8,5,0,0,0.615,496,115.1,128,8,36,5,49,42,38,1.42,4.24
597,137,日高　亮,ヤクルト,2.98,66,3,2,0,15,0.6,213,51.1,41,2,21,1,40,19,17,1.21,3.35
553,138,伊藤　義弘,ロッテ,3.00,6,0,1,0,2,0.0,24,6.0,8,0,1,0,3,4,2,1.50,2.62
345,139,武藤　祐太,中日,3.02,33,4,0,0,3,1.0,167,41.2,33,1,10,1,31,15,14,1.03,2.59
204,140,ロマン,ヤクルト,3.04,26,9,11,0,0,0.45,703,165.2,152,8,69,6,96,59,56,1.33,3.89
708,140,海田　智行,オリックス,3.04,31,0,4,0,1,0.0,245,56.1,63,2,20,1,30,19,19,1.47,3.63
472,142,吉野　誠,オリックス,3.05,40,2,1,0,7,0.667,87,20.2,19,2,7,1,12,7,7,1.26,4.23
125,143,美馬　学,楽天,3.08,23,8,10,0,0,0.444,633,154.2,142,12,36,5,108,55,53,1.15,3.53
742,144,フィガロ,オリックス,3.09,11,0,5,0,0,0.0,268,64.0,61,5,19,3,37,23,22,1.25,4.01
347,145,菊池　雄星,西武,3.10,14,4,3,1,0,0.5710000000000001,339,81.1,75,5,25,1,57,34,28,1.23,3.48
649,146,岩嵜　翔,ソフトバンク,3.14,29,5,10,0,3,0.33299999999999996,498,120.1,113,5,27,3,77,46,42,1.16,3.13
665,147,ヒメネス,楽天,3.15,18,5,10,0,0,0.33299999999999996,460,108.2,102,6,39,6,63,45,38,1.30,3.89
340,148,荻野　忠寛,ロッテ,3.18,5,0,0,0,1,0.0,23,5.2,5,2,1,0,3,2,2,1.06,7.18
777,149,高崎　健太郎,DeNA,3.20,24,7,10,0,0,0.41200000000000003,643,151.2,155,9,40,4,97,63,54,1.29,3.48
