,登録名,チーム2018,総負け数,敗北2018,敗北2017,敗北2016,敗北2015,敗北2014,敗北2013,敗北2012,敗北2011,敗北2010,敗北2009
450,石川　雅規,ヤクルト,90.0,5.0,14.0,8.0,9.0,10.0,9.0,11.0,9.0,8.0,7.0
662,涌井　秀章,ロッテ,84.0,7.0,11.0,7.0,9.0,12.0,7.0,5.0,12.0,8.0,6.0
458,能見　篤史,阪神,81.0,2.0,6.0,12.0,13.0,13.0,7.0,10.0,9.0,0.0,9.0
74,メッセンジャー,阪神,77.0,7.0,5.0,11.0,12.0,10.0,8.0,11.0,7.0,6.0,
519,岸　孝之,楽天,67.0,3.0,10.0,7.0,6.0,4.0,5.0,12.0,9.0,6.0,5.0
634,金子　千尋,オリックス,66.0,7.0,8.0,9.0,6.0,5.0,8.0,3.0,4.0,8.0,8.0
26,スタンリッジ,,65.0,,6.0,8.0,7.0,8.0,12.0,12.0,7.0,5.0,
153,成瀬　善久,,65.0,,1.0,2.0,8.0,11.0,4.0,11.0,12.0,11.0,5.0
195,前田　健太,,65.0,,,,8.0,9.0,7.0,7.0,12.0,8.0,14.0
281,西　勇輝,オリックス,63.0,11.0,6.0,12.0,6.0,10.0,8.0,3.0,7.0,0.0,0.0
672,内海　哲也,巨人,63.0,4.0,7.0,6.0,1.0,9.0,6.0,6.0,5.0,8.0,11.0
366,岩田　稔,阪神,63.0,3.0,2.0,3.0,10.0,8.0,5.0,14.0,13.0,,5.0
186,三浦　大輔,,62.0,,,3.0,6.0,6.0,13.0,9.0,6.0,8.0,11.0
539,唐川　侑己,ロッテ,62.0,3.0,10.0,6.0,4.0,9.0,11.0,2.0,6.0,3.0,8.0
185,野上　亮磨,巨人,60.0,4.0,10.0,9.0,7.0,10.0,7.0,5.0,1.0,2.0,5.0
782,則本　昂大,楽天,57.0,10.0,7.0,11.0,11.0,10.0,8.0,,,,
459,吉川　光夫,巨人,56.0,4.0,3.0,6.0,8.0,4.0,15.0,5.0,5.0,4.0,2.0
235,美馬　学,楽天,55.0,6.0,8.0,9.0,7.0,9.0,5.0,10.0,1.0,,
904,久保　康友,,55.0,,2.0,8.0,7.0,6.0,4.0,7.0,8.0,5.0,8.0
482,中田　賢一,ソフトバンク,53.0,3.0,6.0,3.0,7.0,7.0,6.0,10.0,3.0,4.0,4.0
487,ディクソン,オリックス,53.0,6.0,9.0,11.0,9.0,10.0,8.0,,,,
65,辛島　航,楽天,53.0,8.0,8.0,7.0,7.0,13.0,4.0,5.0,,1.0,0.0
111,大野　雄大,中日,53.0,3.0,8.0,10.0,10.0,8.0,10.0,3.0,1.0,,
404,山井　大介,中日,51.0,6.0,0.0,8.0,12.0,5.0,6.0,3.0,3.0,4.0,4.0
17,牧田　和久,,49.0,,3.0,1.0,11.0,9.0,9.0,9.0,7.0,,
732,攝津　正,ソフトバンク,49.0,4.0,2.0,2.0,7.0,8.0,8.0,5.0,8.0,3.0,2.0
613,武田　勝,,48.0,,,0.0,2.0,4.0,7.0,7.0,12.0,7.0,9.0
682,井納　翔一,DeNA,48.0,3.0,10.0,11.0,8.0,9.0,7.0,,,,
188,塩見　貴洋,楽天,47.0,3.0,3.0,10.0,5.0,7.0,,10.0,9.0,,
676,澤村　拓一,巨人,47.0,6.0,,4.0,3.0,3.0,10.0,10.0,11.0,,
160,吉見　一起,中日,47.0,5.0,7.0,7.0,0.0,1.0,4.0,4.0,3.0,9.0,7.0
290,山口　俊,巨人,47.0,8.0,1.0,5.0,6.0,5.0,2.0,2.0,6.0,8.0,4.0
208,菊池　雄星,西武,46.0,4.0,6.0,7.0,10.0,11.0,4.0,3.0,1.0,,
746,平野　佳寿,,45.0,,7.0,4.0,3.0,6.0,5.0,4.0,2.0,2.0,12.0
383,バリントン,,45.0,,,,3.0,8.0,9.0,14.0,11.0,,
60,大竹　寛,巨人,45.0,1.0,4.0,6.0,4.0,6.0,10.0,5.0,1.0,0.0,8.0
413,野村　祐輔,広島,44.0,3.0,5.0,3.0,8.0,8.0,6.0,11.0,,,
395,村中　恭兵,ヤクルト,43.0,0.0,0.0,3.0,,2.0,9.0,7.0,6.0,10.0,6.0
665,寺原　隼人,ソフトバンク,42.0,0.0,2.0,1.0,3.0,4.0,7.0,8.0,10.0,,7.0
542,近藤　一樹,ヤクルト,42.0,3.0,4.0,,4.0,1.0,0.0,1.0,7.0,10.0,12.0
407,石川　歩,ロッテ,41.0,5.0,11.0,5.0,12.0,8.0,,,,,
202,十亀　剣,西武,41.0,8.0,7.0,6.0,7.0,5.0,8.0,0.0,,,
349,杉内　俊哉,,41.0,,,,6.0,6.0,6.0,4.0,7.0,7.0,5.0
177,藤浪　晋太郎,阪神,40.0,3.0,5.0,11.0,7.0,8.0,6.0,,,,
538,菅野　智之,巨人,40.0,7.0,5.0,6.0,11.0,5.0,6.0,,,,
650,小川　泰弘,ヤクルト,39.0,5.0,7.0,9.0,8.0,6.0,4.0,,,,
286,木佐貫　洋,,39.0,,,,0.0,3.0,8.0,9.0,7.0,12.0,0.0
553,ウルフ,西武,39.0,3.0,4.0,0.0,1.0,2.0,6.0,9.0,11.0,3.0,
763,渡辺　俊介,,38.0,,,,,,4.0,4.0,9.0,8.0,13.0
252,高崎　健太郎,,37.0,,0.0,,3.0,3.0,5.0,10.0,15.0,1.0,0.0
627,大隣　憲司,ロッテ,37.0,1.0,1.0,0.0,4.0,1.0,3.0,8.0,0.0,9.0,10.0
460,田島　慎二,中日,37.0,4.0,5.0,4.0,6.0,5.0,10.0,3.0,,,
42,館山　昌平,ヤクルト,37.0,3.0,1.0,4.0,3.0,,0.0,8.0,5.0,7.0,6.0
562,福井　優也,広島,36.0,3.0,3.0,4.0,6.0,5.0,2.0,3.0,10.0,,
393,由規,ヤクルト,35.0,2.0,5.0,3.0,,,,,6.0,9.0,10.0
593,青山　浩二,楽天,35.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,4.0,1.0,5.0
823,武田　翔太,ソフトバンク,35.0,9.0,4.0,8.0,6.0,3.0,4.0,1.0,,,
79,松葉　貴大,オリックス,34.0,0.0,12.0,9.0,6.0,1.0,6.0,,,,
439,山本　省吾,,32.0,,,,,,0.0,4.0,11.0,10.0,7.0
221,有原　航平,日本ハム,32.0,4.0,13.0,9.0,6.0,,,,,,
513,大谷　智久,ロッテ,32.0,3.0,2.0,3.0,1.0,2.0,5.0,6.0,9.0,1.0,
541,増井　浩俊,オリックス,32.0,4.0,1.0,3.0,1.0,6.0,4.0,5.0,4.0,4.0,
861,ホールトン,,32.0,,,,,,4.0,8.0,6.0,6.0,8.0
181,大嶺　祐太,,31.0,,2.0,3.0,7.0,4.0,2.0,,1.0,6.0,6.0
376,藤岡　貴裕,日本ハム,31.0,1.0,0.0,1.0,2.0,10.0,10.0,7.0,,,
434,安藤　優也,,31.0,,0.0,1.0,4.0,2.0,2.0,7.0,0.0,3.0,12.0
87,岩貞　祐太,阪神,31.0,7.0,10.0,9.0,1.0,4.0,,,,,
33,石井　一久,,30.0,,,,,,1.0,5.0,9.0,6.0,9.0
310,東野　峻,,30.0,,,,0.0,,3.0,0.0,11.0,8.0,8.0
479,帆足　和幸,,29.0,,,,0.0,1.0,7.0,1.0,6.0,8.0,6.0
350,今村　猛,広島,29.0,2.0,5.0,4.0,1.0,1.0,5.0,2.0,8.0,1.0,
762,永井　怜,,29.0,,,,0.0,0.0,4.0,3.0,5.0,10.0,7.0
509,福原　忍,,28.0,,,0.0,4.0,6.0,0.0,4.0,3.0,1.0,10.0
93,ラズナー,,27.0,,,,,,2.0,3.0,4.0,11.0,7.0
333,上沢　直之,日本ハム,27.0,4.0,9.0,,6.0,8.0,,,,,
646,山田　大樹,ヤクルト,27.0,1.0,0.0,1.0,,1.0,3.0,10.0,7.0,4.0,
850,バルデス,,27.0,,9.0,7.0,8.0,,,,,3.0,
351,マシソン,巨人,27.0,3.0,4.0,4.0,8.0,6.0,2.0,0.0,,,
141,秋山　拓巳,阪神,27.0,10.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,
618,中山　慎也,,26.0,,,,0.0,0.0,3.0,7.0,9.0,3.0,4.0
497,岩嵜　翔,ソフトバンク,26.0,0.0,3.0,2.0,0.0,1.0,4.0,10.0,2.0,3.0,1.0
477,田口　麗斗,巨人,26.0,7.0,4.0,10.0,5.0,,,,,,
667,東明　大貴,オリックス,26.0,1.0,0.0,10.0,8.0,7.0,,,,,
685,川井　貴志,,25.0,,,1.0,2.0,6.0,2.0,1.0,4.0,7.0,2.0
431,山口　鉄也,,25.0,,1.0,6.0,5.0,3.0,3.0,2.0,1.0,3.0,1.0
192,今永　昇太,DeNA,25.0,9.0,7.0,9.0,,,,,,,
364,原　樹理,ヤクルト,25.0,6.0,11.0,8.0,,,,,,,
219,益田　直也,ロッテ,25.0,6.0,4.0,2.0,2.0,3.0,6.0,2.0,,,
361,岸田　護,オリックス,25.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,6.0,5.0,4.0
720,グライシンガー,,25.0,,,,,,4.0,8.0,5.0,2.0,6.0
39,増田　達至,西武,25.0,4.0,5.0,5.0,4.0,4.0,3.0,,,,
227,戸村　健次,楽天,25.0,0.0,1.0,5.0,11.0,0.0,2.0,2.0,3.0,1.0,
466,大瀬良　大地,広島,24.0,5.0,2.0,1.0,8.0,8.0,,,,,
733,斎藤　佑樹,日本ハム,24.0,1.0,3.0,1.0,3.0,1.0,1.0,8.0,6.0,,
330,チェン,,24.0,,,,,,,,10.0,10.0,4.0
599,松井　裕樹,楽天,24.0,7.0,3.0,4.0,2.0,8.0,,,,,
157,石山　泰稚,ヤクルト,24.0,2.0,6.0,0.0,5.0,8.0,3.0,,,,
502,小松　聖,,23.0,,,1.0,0.0,0.0,0.0,5.0,0.0,8.0,9.0
183,和田　毅,,23.0,,0.0,5.0,,,,,5.0,8.0,5.0
808,二木　康太,ロッテ,23.0,5.0,9.0,9.0,0.0,,,,,,
430,石田　健大,DeNA,23.0,7.0,6.0,4.0,6.0,,,,,,
165,岩瀬　仁紀,中日,23.0,0.0,6.0,2.0,,2.0,3.0,3.0,1.0,3.0,3.0
225,宮西　尚生,日本ハム,23.0,1.0,5.0,1.0,3.0,5.0,1.0,2.0,2.0,1.0,2.0
857,高木　勇人,西武,23.0,2.0,2.0,9.0,10.0,,,,,,
709,清水　直行,,22.0,,,,,,,,4.0,11.0,7.0
275,ロマン,,22.0,,,,5.0,0.0,6.0,11.0,,,
342,山中　浩史,ヤクルト,22.0,0.0,6.0,12.0,2.0,,2.0,,,,
687,増渕　竜義,,22.0,,,,,,0.0,7.0,11.0,3.0,1.0
260,岩崎　優,阪神,22.0,2.0,1.0,5.0,10.0,4.0,,,,,
547,ブキャナン,ヤクルト,22.0,9.0,13.0,,,,,,,,
365,モスコーソ,,22.0,,,7.0,6.0,9.0,,,,,
898,篠田　純平,,22.0,,,,,4.0,1.0,3.0,7.0,6.0,1.0
565,新垣　渚,,22.0,,,2.0,10.0,2.0,1.0,5.0,,,2.0
44,朝倉　健太,,22.0,,,,0.0,6.0,1.0,0.0,1.0,6.0,8.0
240,加賀　繁,DeNA,22.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,12.0,
814,岩隈　久志,,22.0,,,,,,,,7.0,9.0,6.0
767,八木　亮祐,,21.0,,,,2.0,6.0,13.0,0.0,,,
442,山岡　泰輔,オリックス,21.0,10.0,11.0,,,,,,,,
258,ネルソン,,21.0,,,,,,,1.0,14.0,3.0,3.0
781,齊藤　悠葵,,21.0,,,,,,,3.0,,7.0,11.0
608,田中　将大,,21.0,,,,,,0.0,4.0,5.0,6.0,6.0
703,小野　晋吾,,21.0,,,,,,,5.0,5.0,4.0,7.0
868,又吉　克樹,中日,21.0,5.0,3.0,6.0,6.0,1.0,,,,,
156,西村　健太朗,,21.0,,2.0,0.0,0.0,4.0,3.0,2.0,5.0,5.0,0.0
113,東浜　巨,ソフトバンク,21.0,5.0,5.0,6.0,2.0,2.0,1.0,,,,
474,佐藤　達也,,21.0,,1.0,4.0,7.0,4.0,4.0,1.0,,,
706,ジオ,,21.0,,,,,,,6.0,7.0,8.0,
760,藤川　球児,阪神,20.0,2.0,0.0,6.0,,,,2.0,3.0,4.0,3.0
298,ケッペル,,20.0,,,,,,5.0,1.0,6.0,8.0,
374,藤井　秀悟,,20.0,,,,,,5.0,7.0,0.0,3.0,5.0
139,赤川　克紀,,20.0,,,,,2.0,5.0,9.0,3.0,1.0,0.0
138,小笠原　慎之介,中日,20.0,6.0,8.0,6.0,,,,,,,
1,今井　啓介,,20.0,,0.0,,1.0,0.0,2.0,8.0,2.0,4.0,3.0
130,サファテ,ソフトバンク,20.0,0.0,2.0,7.0,1.0,1.0,1.0,5.0,3.0,,
619,下柳　剛,,20.0,,,,,,,2.0,2.0,8.0,8.0
371,榎田　大樹,西武,19.0,2.0,0.0,1.0,0.0,1.0,9.0,3.0,3.0,,
476,バーネット,,19.0,,,,1.0,2.0,8.0,2.0,1.0,5.0,
594,宮國　椋丞,巨人,19.0,0.0,7.0,1.0,1.0,1.0,7.0,2.0,,,
129,八木　智哉,,19.0,,0.0,0.0,6.0,0.0,2.0,3.0,1.0,4.0,3.0
249,三嶋　一輝,DeNA,19.0,1.0,1.0,1.0,5.0,2.0,9.0,,,,
454,須田　幸太,DeNA,19.0,0.0,2.0,3.0,2.0,1.0,3.0,2.0,6.0,,
136,ダルビッシュ　有,,19.0,,,,,,,,6.0,8.0,5.0
544,ジョンソン,広島,19.0,2.0,3.0,7.0,7.0,,,,,,
224,浅尾　拓也,中日,19.0,0.0,0.0,,1.0,1.0,3.0,0.0,2.0,3.0,9.0
55,松岡　健一,ヤクルト,18.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,2.0,4.0,4.0
386,西野　勇士,ロッテ,18.0,0.0,3.0,6.0,2.0,1.0,6.0,,,,
801,西口　文也,,18.0,,,,1.0,0.0,2.0,2.0,7.0,2.0,4.0
24,小山　伸一郎,,18.0,,,,0.0,0.0,4.0,2.0,4.0,4.0,4.0
150,吉田　一将,オリックス,18.0,4.0,1.0,2.0,5.0,6.0,,,,,
480,千賀　滉大,ソフトバンク,18.0,4.0,4.0,3.0,1.0,1.0,4.0,1.0,,,
473,国吉　佑樹,DeNA,18.0,0.0,0.0,0.0,2.0,3.0,1.0,12.0,,,
323,小林　太志,,18.0,,,,,1.0,1.0,3.0,3.0,2.0,8.0
561,谷元　圭介,中日,17.0,0.0,,2.0,2.0,1.0,6.0,2.0,2.0,2.0,0.0
858,高梨　裕稔,日本ハム,17.0,7.0,7.0,2.0,1.0,,,,,,
101,ヒメネス,,17.0,,,,,,,10.0,7.0,,
412,中崎　翔太,,17.0,,,,6.0,3.0,7.0,1.0,,,
555,若松　駿太,,17.0,,4.0,8.0,4.0,1.0,,,,,
524,ゴンザレス,,17.0,,,,,,2.0,,,13.0,2.0
23,秋吉　亮,ヤクルト,17.0,2.0,6.0,4.0,1.0,4.0,,,,,
278,押本　健彦,,17.0,,,,,0.0,4.0,1.0,2.0,4.0,6.0
131,バンデンハーク,ソフトバンク,17.0,7.0,7.0,3.0,0.0,,,,,,
468,森福　允彦,巨人,17.0,0.0,3.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,0.0
370,青木　高広,,16.0,,,,,2.0,1.0,,4.0,6.0,3.0
628,黒田　博樹,,16.0,,,8.0,8.0,,,,,,
206,岡本　洋介,阪神,16.0,0.0,3.0,0.0,2.0,6.0,4.0,1.0,,0.0,
730,中村　勝,,16.0,,0.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,
306,岡田　俊哉,中日,16.0,0.0,2.0,1.0,1.0,7.0,5.0,,,,
405,九里　亜蓮,広島,16.0,3.0,5.0,2.0,1.0,5.0,,,,,
756,大場　翔太,,16.0,,,,,0.0,4.0,5.0,2.0,1.0,4.0
309,髙橋　光成,西武,16.0,1.0,4.0,11.0,,,,,,,
321,永川　勝浩,広島,16.0,0.0,,0.0,1.0,4.0,1.0,,2.0,2.0,6.0
115,海田　智行,オリックス,16.0,0.0,1.0,3.0,2.0,1.0,5.0,4.0,,,
661,大家　友和,,15.0,,,,,,,,6.0,9.0,
248,多和田　真三郎,西武,15.0,5.0,5.0,5.0,,,,,,,
623,菊池　保則,,15.0,,0.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,
354,岩田　慎司,,15.0,,,0.0,2.0,1.0,2.0,5.0,4.0,1.0,
557,中田　廉,広島,15.0,1.0,4.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,
551,グリン,,15.0,,,,,,,,,,15.0
641,大谷　翔平,,15.0,,2.0,4.0,5.0,4.0,0.0,,,,
271,山内　壮馬,,15.0,,,0.0,,1.0,4.0,7.0,2.0,1.0,0.0
178,長谷部　康平,,15.0,,,0.0,1.0,0.0,1.0,,0.0,5.0,8.0
409,加藤　貴之,日本ハム,15.0,6.0,6.0,3.0,,,,,,,
128,釜田　佳直,楽天,15.0,0.0,3.0,5.0,1.0,,2.0,4.0,,,
92,石井　裕也,,15.0,,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,6.0
256,中澤　雅人,ヤクルト,14.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,9.0,
9,武田　久,,14.0,,0.0,0.0,,1.0,2.0,4.0,2.0,5.0,0.0
158,山田　修義,オリックス,14.0,1.0,3.0,7.0,1.0,,0.0,2.0,,0.0,
445,古谷　拓哉,,14.0,,,4.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0
493,雄太,,14.0,,,0.0,2.0,7.0,0.0,5.0,,,
259,ファルケンボーグ,,14.0,,,,,5.0,4.0,1.0,2.0,2.0,0.0
778,藤江　均,,14.0,,,,0.0,1.0,1.0,5.0,0.0,3.0,4.0
532,森　唯斗,ソフトバンク,13.0,4.0,3.0,3.0,2.0,1.0,,,,,
512,小林　宏之,,13.0,,,,,,,,,,13.0
529,岡田　明丈,広島,13.0,5.0,5.0,3.0,,,,,,,
369,真田　裕貴,,13.0,,,,,1.0,,0.0,0.0,8.0,4.0
545,福山　博之,楽天,13.0,2.0,0.0,5.0,3.0,2.0,0.0,0.0,1.0,,
368,一岡　竜司,広島,13.0,6.0,2.0,1.0,4.0,0.0,0.0,0.0,,,
510,マイコラス,,13.0,,8.0,2.0,3.0,,,,,,
595,福谷　浩司,中日,13.0,1.0,1.0,2.0,4.0,4.0,1.0,,,,
764,三上　朋也,DeNA,13.0,1.0,3.0,4.0,1.0,4.0,,,,,
124,伊藤　義弘,,13.0,,,,0.0,0.0,3.0,1.0,1.0,2.0,6.0
456,薮田　安彦,,13.0,,,,,,,6.0,2.0,5.0,
399,多田野　数人,,13.0,,,,,0.0,2.0,5.0,0.0,1.0,5.0
514,田中　健二朗,DeNA,13.0,1.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,
622,カルロス・ロサ,,13.0,,,,3.0,4.0,1.0,1.0,4.0,,
799,メンドーサ,,13.0,,,,,13.0,,,,,
52,古野　正人,ヤクルト,12.0,1.0,,2.0,3.0,4.0,2.0,,,,
718,祖父江　大輔,中日,12.0,1.0,2.0,4.0,2.0,3.0,,,,,
205,ルーキ,,12.0,,6.0,6.0,,,,,,,
864,鍵谷　陽平,日本ハム,12.0,0.0,3.0,3.0,3.0,0.0,3.0,,,,
860,武隈　祥太,西武,12.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
800,井川　慶,,12.0,,,,,2.0,3.0,7.0,,,
452,浦野　博司,日本ハム,12.0,2.0,3.0,,3.0,4.0,,,,,
649,井坂　亮平,,12.0,,,,,,,,5.0,4.0,3.0
629,カブレラ,,12.0,,,,,7.0,5.0,,,,
199,馬原　孝浩,,12.0,,,,1.0,4.0,0.0,,2.0,2.0,3.0
771,山﨑　康晃,DeNA,11.0,4.0,2.0,5.0,,,,,,,
614,山本　哲哉,ヤクルト,11.0,0.0,1.0,,0.0,4.0,3.0,2.0,1.0,,
892,川井　雄太,,11.0,,,,,,,,3.0,3.0,5.0
121,平野　将光,,11.0,,,,,0.0,,0.0,6.0,4.0,1.0
308,ポレダ,,11.0,,,3.0,8.0,,,,,,
838,小野　泰己,阪神,11.0,4.0,7.0,,,,,,,,
621,長田　秀一郎,,11.0,,,0.0,1.0,5.0,,1.0,1.0,3.0,0.0
293,ナーブソン,,11.0,,,,,11.0,,,,,
723,五十嵐　亮太,ソフトバンク,11.0,1.0,0.0,1.0,1.0,3.0,3.0,,,,2.0
285,フィガロ,,11.0,,,,,,,5.0,6.0,,
852,許　銘傑,,11.0,,,,,,,,,9.0,2.0
633,横山　竜士,,11.0,,,,,0.0,1.0,0.0,0.0,2.0,8.0
574,内　竜也,ロッテ,11.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
653,伊藤　準規,中日,11.0,0.0,2.0,2.0,0.0,2.0,,0.0,4.0,1.0,0.0
550,マエストリ,,11.0,,,,2.0,1.0,5.0,3.0,,,
204,マーフィー,,11.0,,,,,,,,5.0,6.0,
385,濵口　遥大,DeNA,11.0,5.0,6.0,,,,,,,,
46,ドリス,阪神,11.0,4.0,4.0,3.0,,,,,,,
