,登録名,チーム2018,WHIP2018,WHIP2017,WHIP2016,WHIP2015,WHIP2014,WHIP2013,WHIP2012,WHIP2011,WHIP2010,WHIP2009
398,江尻　慎太郎,,,,,,1.41,1.38,2.50,1.02,,1.44
399,多田野　数人,,,,,,1.69,1.14,1.21,1.19,1.50,1.39
400,佐藤　峻一,,,,3.27,,,,,,,
401,加藤　大輔,,,,,,,2.61,1.32,,1.11,1.41
403,アルバラデホ,,,,,,,,,1.21,,
406,長峰　昌司,,,,,,,,,,1.53,1.50
410,カーライル,,,,,,,,,,1.66,
412,中崎　翔太,,,,,1.21,1.37,1.62,1.10,,,
416,ウエスト,,,2.00,,,,,,,,
417,ガルセス,,,1.52,,,,,,,,
418,ヘルメン,,,1.45,,,,,,,,
419,宮﨑　敦次,,,1.75,0.0,,,,,,,
420,竹下　真吾,,,,3.0,,,,,,,
422,石橋　良太,,,,2.63,,,,,,,
423,齊藤　勝,,,,,,2.00,1.50,,,,
424,星野　大地,,,,,,1.00,1.61,,,,
425,尚成,,,,,,1.69,,,,,
426,土本　恭平,,,,,,,,,,1.09,
427,ジャマーノ,,,,,,,,,,,1.34
428,加賀美　希昇,,,,,,1.66,1.76,1.30,0.67,,
429,大久保　勝信,,,,,,,,,,1.86,1.32
431,山口　鉄也,,,1.65,1.25,1.20,1.44,0.96,0.72,0.99,1.08,0.86
432,建山　義紀,,,,,,1.36,,,,0.98,1.43
433,小林　雅英,,,,,,,,,3.21,1.71,
434,安藤　優也,,,3.00,0.96,1.21,1.46,1.38,1.27,4.2,1.77,1.41
435,土肥　義弘,,,,,,,,,,1.94,0.94
437,畠　世周,,,1.05,,,,,,,,
438,小島　心二郎,,,,,,,,,,2.00,
439,山本　省吾,,,,,,,3.00,1.49,1.57,1.52,1.40
440,小山　雄輝,,,2.82,1.54,1.60,1.21,1.40,0.92,1.62,,
441,吉野　誠,,,,,,,-,1.26,1.19,4.20,1.83
443,土屋　朋弘,,,,,,,1.42,0.92,1.42,0.00,
444,栂野　雅史,,,,,,,,,,4.00,1.05
445,古谷　拓哉,,,,1.96,1.47,1.52,1.08,2.25,1.79,1.40,2.25
446,西川　健太郎,,,,,1.77,,1.50,0.43,,,
447,角屋　龍太,,,,3.86,,,,,,,
448,アンソニー・カーター,,,,,,1.46,,,,,
449,ハウザー,,,,,,,1.63,,,,
455,梅津　智弘,,,,,,1.53,1.26,2.25,1.2,1.59,0.85
456,薮田　安彦,,,,,,,,1.41,0.9,1.23,
457,武内　久士,,,,,2.25,,1.25,,,1.89,
461,中崎　雄太,,,,,,,2.48,,,,
462,牧野　塁,,,,,,,,,,,1.08
464,山村　宏樹,,,,,,,,,1.23,1.38,1.00
465,萩原　淳,,,,,,,,,,,1.63
469,有銘　兼久,,,,,,,,-,1.28,1.25,1.37
470,大原　慎司,,,,1.66,1.15,1.39,1.02,1.31,1.24,,
471,ダックワース,,,,,,,1.46,1.10,,,
472,秦　裕二,,,,,,,,,,1.97,
474,佐藤　達也,,,1.62,1.62,1.24,0.93,1.12,1.24,,,
476,バーネット,,,,,0.89,1.18,1.36,1.01,1.19,1.76,
478,二神　一人,,,,,1.14,1.95,,1.30,,,
479,帆足　和幸,,,,,1.31,1.43,1.40,3.00,1.22,1.27,1.32
483,高橋　秀聡,,,,,,,,1.91,2.1,1.60,1.36
484,ランドルフ,,,,,,,,,,1.42,1.22
488,山本昌,,,,,2.25,1.36,1.53,1.05,,1.41,2.11
489,菊地原　毅,,,,,,,1.58,1.43,0.82,2.56,1.39
490,ペレス,,,,1.92,,,,,,,
491,木谷　寿巳,,,,,,,,,,1.15,1.40
492,広池　浩司,,,,,,,,,,3.00,
493,雄太,,,,0.0,1.20,1.28,0.93,1.29,,,
494,三井　浩二,,,,,,,,,,,1.15
495,筒井　和也,,,,3.0,2.20,1.32,0.99,1.28,1.19,1.66,1.26
496,金森　敬之,,,,6.0,1.69,,,,,1.81,1.17
499,高市　俊,,,,,,,,,3.43,1.29,1.93
500,鈴木　翔太,,,1.57,,2.25,1.00,,,,,
501,メンデス,,,1.55,,,,,,,,
502,小松　聖,,,,2.7,0.84,1.91,1.37,1.43,15.0,1.61,1.76
504,土肥　寛昌,,,1.40,2.25,,,,,,,
505,野村　亮介,,,,,4.13,,,,,,
506,日高　亮,,,,,,,3.00,1.21,1.92,,
507,水野　滉也,,,1.50,,,,,,,,
508,西川　雅人,,,,,,,,3.75,3.0,1.17,1.57
509,福原　忍,,,,1.69,1.36,1.28,1.13,1.18,1.17,1.44,1.40
510,マイコラス,,,0.98,1.17,0.90,,,,,,
511,有馬　翔,,,,,,,3.33,,,,
512,小林　宏之,,,,,,,,,,,1.32
515,李　恵踐,,,,,,,,,,1.02,1.51
516,高橋　聡文,,,,,1.13,1.26,1.36,1.55,0.0,1.11,1.05
517,山室　公志郎,,,,,,,,,,1.50,
518,川崎　貴弘,,,,,,,3.00,,,,
520,濱田　達郎,,,,3.25,1.66,1.42,,,,,
521,山崎　福也,,,,,1.44,,,,,,
522,ウォーランド,,,,,,,,,,,1.61
523,前田　祐二,,,,,2.04,,1.14,1.45,,1.88,
524,ゴンザレス,,,,,,,2.25,,,1.45,0.98
525,ソコロビッチ,,,,,,,0.88,,,,
526,オセゲラ,,,,,,2.00,1.22,,,,
528,岸本　秀樹,,,,,,,,1.71,1.26,1.77,
533,橋本　義隆,,,,,,,,1.61,1.61,1.89,0.90
534,ダービン,,,,,,,,,,1.63,
535,石川　俊介,,,,,,,,,,1.71,1.60
540,相原　勝幸,,,,,,,,,,0.86,
546,ソト,,,,,,1.00,2.41,1.06,1.08,,
550,マエストリ,,,,,1.42,1.21,1.45,1.15,,,
551,グリン,,,,,,,,,,,1.44
552,水田　章雄,,,,,,,,,,2.08,1.44
555,若松　駿太,,,1.68,1.42,1.15,1.53,,,,,
556,レルー,,,,,,,,,1.4,,
558,松家　卓弘,,,,,,,,,,2.21,0.89
559,萬谷　康平,,,,,1.33,1.23,,,,,
563,中島　彰吾,,,2.57,,,,,,,,
564,高木　伴,,,,,2.79,,,,,,
565,新垣　渚,,,,1.62,1.50,2.38,1.76,1.32,,,2.12
566,ダース　ローマシュ匡,,,,,,,,,,3.43,
567,エレラ,,,,,1.14,,,,,,
568,大田　阿斗里,,,,2.0,,2.00,1.24,,,,
569,國場　翼,,,,1.67,,,,,,,
570,榊原　諒,,,,,1.60,1.40,1.50,1.45,0.92,0.99,1.69
572,綾部　翔,,,1.20,,,,,,,,
573,サターホワイト,,,,1.29,,,,,,,
575,横山　貴明,,,,2.18,2.30,1.04,,,,,
576,加藤　拓也,,,1.74,,,,,,,,
577,Ｃ．Ｃ．リー,,,,1.8,,,,,,,
578,島袋　洋奨,,,,,1.50,,,,,,
579,加藤　康介,,,,,2.57,1.73,0.97,0.80,1.88,1.92,1.33
580,高橋　光成,,,,,1.25,,,,,,
583,小嶋　達也,,,,,1.56,2.47,1.75,1.88,1.28,2.19,0.83
584,戸根　千明,,,2.13,1.5,1.08,,,,,,
585,竹安　大知,,,0.00,,,,,,,,
586,キャンデラリオ,,,3.67,,,,,,,,
587,林　昌勇,,,,,,,,1.14,0.99,0.86,1.04
588,小笠原　孝,,,,,,,,1.50,0.0,1.64,1.17
589,ソリアーノ,,,,,,,,,1.01,1.37,
590,吉見　祐治,,,,,,,1.61,1.37,1.63,,1.37
591,オーレンドルフ,,,1.61,,,,,,,,
592,横山　雄哉,,,1.60,1.24,1.95,,,,,,
596,河野　秀数,,,,,,1.82,1.36,,,,
597,上園　啓史,,,,,,1.52,1.54,1.93,,1.43,1.94
600,塹江　敦哉,,,,1.58,,,,,,,
601,浜田　智博,,,,,7.50,,,,,,
602,久本　祐一,,,,6.0,,1.00,1.42,1.63,1.0,1.67,
603,マシス,,,,,,,,1.86,,,
605,古川　秀一,,,,,0.92,,1.13,2.21,1.19,1.34,
606,ミンチェ,,,,,,,4.00,1.67,0.85,,
607,ロンドン,,,1.93,,,,,,,,
608,田中　将大,,,,,,,0.94,1.03,0.87,1.23,1.12
609,オビスポ,,,,,,,,,7.0,1.61,0.94
610,ライブリー,,,,,1.82,,,,,,
611,ハミルトン,,,,,,,,1.58,1.62,,
612,コラレス,,,3.67,,,,,,,,
613,武田　勝,,,,0.0,1.51,1.49,1.29,1.03,0.98,1.07,1.18
617,カーペンター,,,,,,1.67,,,,,
618,中山　慎也,,,,,1.70,1.11,2.05,1.27,1.26,1.34,2.04
619,下柳　剛,,,,,,,,1.65,1.46,1.43,1.42
620,豊田　清,,,,,,,,,1.06,1.95,1.23
621,長田　秀一郎,,,,2.75,1.40,1.41,,0.84,1.98,1.21,2.77
622,カルロス・ロサ,,,,,1.52,1.25,1.20,2.00,1.1,,
623,菊池　保則,,,1.64,2.03,1.34,1.13,1.83,1.40,3.9,1.09,
624,チルダース,,,,,,,,,,,2.31
625,福田　岳洋,,,,,,,2.00,1.68,,1.38,
626,江柄子　裕樹,,,1.67,2.42,,1.28,1.75,1.30,,,
628,黒田　博樹,,,,1.2,1.10,,,,,,
629,カブレラ,,,,,,1.51,1.24,,,,
630,モルケン,,,,,,,1.50,1.27,,,
631,髙木　伴,,,,1.17,,,,,,,
632,イ・デウン,,,,2.0,1.54,,,,,,
633,横山　竜士,,,,,,2.25,1.33,0.92,5.0,1.08,1.30
636,相澤　寿聡,,,,,,,,,4.0,3.60,
637,金剛　弘樹,,,,,,,,,,2.57,
639,上野　弘文,,,,,,3.50,1.86,,1.55,1.54,1.83
640,山崎　康晃,,,,,0.87,,,,,,
641,大谷　翔平,,,1.26,0.96,0.91,1.17,1.46,,,,
642,ウィリアムス,,,,,,1.53,1.13,1.25,,,1.41
643,正津　英志,,,,,,,,,,,4.80
644,チューク,,,,,,,,,,1.66,
647,中﨑　雄太,,,,1.0,,,,,,,
648,林　昌樹,,,,,,,,,0.0,1.83,1.53
649,井坂　亮平,,,,,,,,,1.44,1.75,1.63
652,ブラックリー,,,,,,2.00,,,,,
656,川越　英隆,,,,,,,,,0.97,1.77,1.58
657,高橋　徹,,,,,,,,,,2.14,
658,高堀　和也,,,,,,,1.66,0.70,,,
661,大家　友和,,,,,,,,,1.56,1.37,
663,木村　正太,,,,,,,,,,,1.19
664,河内　貴哉,,,,,6.00,1.30,1.21,1.15,,,
666,坂寄　晴一,,,,,4.50,,,,,,
669,小澤　怜史,,,3.00,,,,,,,,
670,香月　良太,,,,,1.12,1.27,1.53,1.43,1.09,1.31,1.24
673,植村　祐介,,,,,,,,1.25,,,3.67
675,相沢　晋,,,,,2.45,,,,,,
680,床田　寛樹,,,1.10,,,,,,,,
681,誠,,,2.33,2.35,,3.23,,,,,
683,玉置　隆,,,,,1.50,1.07,0.97,,,,
684,塚原　頌平,,,1.29,1.39,1.37,,,1.14,,,
685,川井　貴志,,,,1.89,1.50,1.54,1.27,1.33,1.4,1.64,1.41
686,佐藤　賢,,,,,,,,,0.86,4.50,0.75
687,増渕　竜義,,,,,,,2.06,1.55,1.38,1.36,2.80
688,七條　祐樹,,,,,,1.39,1.23,1.40,1.47,,
689,花田　真人,,,,,,,,,,,1.29
690,マドリガル,,,,,,,1.33,,,,
691,金刃　憲人,,,2.40,1.08,2.00,1.94,1.06,,1.24,1.53,1.00
692,ドーマン,,,,,,,,,,,2.52
693,相原　和友,,,,9.0,1.33,1.76,,,,,
695,金村　曉,,,,,,,,,,4.50,1.29
696,バスケス,,,,1.41,1.76,,,,,,
697,西崎　聡,,,,,,,,,,,1.00
698,清水　章夫,,,,,,,,,,,1.67
699,ジェン,,,,,,,,,,2.00,1.44
700,白仁田　寛和,,,,2.5,1.44,,1.50,1.13,0.75,,
703,小野　晋吾,,,,,,,,1.12,1.42,1.42,1.35
704,久古　健太郎,,,4.80,1.18,1.30,1.54,1.06,1.50,1.35,,
705,田面　巧二郎,,,,1.85,,,,,,,
706,ジオ,,,,,,,,1.64,1.17,1.23,
707,木塚　敦志,,,,,,,,,,2.73,1.33
708,スウィーニー,,,,,,,,,,,1.66
709,清水　直行,,,,,,,,,1.65,1.56,1.51
711,渡辺　亮,,,,,2.25,1.64,1.47,1.55,0.97,1.25,1.28
712,ブランドン,,,,,,,,1.37,1.16,,
714,ファイフ,,,2.14,,,,,,,,
715,山本　徹矢,,,,,,,,,1.88,,
716,ボイヤー,,,,,,,0.89,,,,
720,グライシンガー,,,,,,,1.26,1.00,1.47,1.50,1.24
721,ペトリック,,,,1.27,,,,,,,
726,高井　雄平,,,,,,,,,,,1.00
727,鎌田　祐哉,,,,,,,,,,,1.00
728,佐藤　誠,,,,,,,,,,,1.84
729,伊原　正樹,,,,,,,,,1.88,1.96,1.42
730,中村　勝,,,1.80,1.33,1.49,1.41,1.61,1.15,1.27,1.56,
731,マクレーン,,,,,,,,1.45,1.47,,
734,土田　瑞起,,,,1.8,1.58,1.80,,,,,
735,フィリップス,,,,,,1.00,,,,,
736,川崎　雄介,,,,,,,,,1.71,2.03,1.56
737,木村　文和,,,,,,,,,,,1.98
739,根本　朋久,,,,,,,1.38,0.97,2.0,1.16,1.85
743,藪　恵壹,,,,,,,,,,1.36,
746,平野　佳寿,,,1.27,0.98,1.39,1.08,1.13,0.88,0.78,1.18,1.46
747,ザガースキー,,,,1.71,1.33,,,,,,
748,小林宏,,,,,,2.12,,,1.59,1.07,
750,熊原　健人,,,1.70,1.59,,,,,,,
752,光原　逸裕,,,,,,,,,2.29,2.00,1.32
753,山岸　穣,,,,,,,,,2.0,1.36,2.17
755,桟原　将司,,,,,,,,,,1.71,1.58
756,大場　翔太,,,,,,1.17,1.34,1.01,1.09,2.89,1.41
757,金村　大裕,,,,,,,,,,,2.00
759,森　跳二,,,,,,,,,,3.00,3.60
762,永井　怜,,,,,0.00,1.83,1.13,1.43,1.15,1.32,1.19
763,渡辺　俊介,,,,,,,1.70,1.33,1.35,1.46,1.32
765,グウィン,,,,,,,,,,,1.38
766,ロドリゲス,,,,,,,,,,,
767,八木　亮祐,,,,,1.70,1.54,1.50,1.40,,,
768,佐竹　健太,,,,,,,,2.50,1.29,1.38,1.59
769,小椋　真介,,,,,,,,,,1.62,-
770,クルーズ,,,,,1.41,1.74,,,,,
773,高宮　和也,,,,2.05,1.40,1.13,3.00,2.00,1.24,1.84,1.75
774,川岸　強,,,,,,,,,1.69,1.70,1.39
775,清原　大貴,,,,,,,2.25,,1.0,,
776,榎下　陽大,,,1.59,1.41,,6.00,0.81,,3.0,,
778,藤江　均,,,,,1.88,1.63,0.88,1.11,0.99,1.60,1.71
780,丸山　貴史,,,,,,,,,,,1.83
781,齊藤　悠葵,,,,,,,,1.45,,1.72,1.41
783,斎藤　隆,,,,,2.57,1.34,1.31,,,,
784,星野　真澄,,,,,,,,0.97,1.88,1.46,
785,レイ,,,,1.85,1.29,,1.19,,,,
786,マストニー,,,,,,,,,,,1.69
788,ワズディン,,,,,,,,,,,1.73
789,髙橋　純平,,,2.67,,,,,,,,
790,歳内　宏明,,,,1.44,1.22,1.38,0.75,1.20,,,
791,藤原　正典,,,,,,,1.32,2.18,1.24,1.35,
792,渡辺　恒樹,,,,,,,,3.50,1.16,1.39,
794,山本　雅士,,,,,2.08,,,,,,
796,坂元　弥太郎,,,,,,,1.50,,1.5,,1.74
797,岡本　慎也,,,,,,,,,,,1.41
798,福　敬登,,,1.76,1.38,,,,,,,
799,メンドーサ,,,,,,1.33,,,,,
800,井川　慶,,,,,,1.48,1.29,1.53,,,
801,西口　文也,,,,,1.75,1.64,2.53,1.30,1.04,1.60,1.59
804,那須野　巧,,,,,,,,,,,2.00
805,乾　真大,,,2.06,1.29,1.44,4.00,1.73,1.35,1.88,,
806,オンドルセク,,,,1.16,1.05,,,,,,
807,平井　諒,,,3.38,1.16,,,1.42,1.37,,,
811,大塚　尚仁,,,,1.8,2.25,,,,,,
812,ブレイシア,,,1.33,,,,,,,,
813,シュルツ,,,,,,,0.00,,1.94,1.16,1.05
814,岩隈　久志,,,,,,,,,1.05,1.09,1.31
815,菊地　和正,,,,,,3.00,1.75,1.18,,1.29,1.14
817,ラルー,,,,,,,2.18,,,,
818,ボウデン,,,,,,1.55,,,,,
819,セプティモ,,,,1.74,,,,,,,
820,小林　敦,,,,,,,,,1.46,,
821,岩橋　慶侍,,,1.30,1.68,3.00,1.79,,,,,
824,宮川　将,,,,,,1.45,1.54,,,,
825,ミッシュ,,,,2.63,,,,,,,
826,齊藤　信介,,,,,,,,,,,1.58
828,ベイル,,,,,,,,,,1.65,
830,金子　丈,,,,3.0,1.32,,,,,,
831,岡本　秀寛,,,,,,,,,,,1.00
833,林　昌範,,,,,1.71,1.48,1.08,1.15,3.25,0.95,1.30
834,スパイアー,,,,,,,,,1.23,,
835,クルーン,,,,,,,,,,1.26,1.10
836,川上　憲伸,,,,,,1.56,1.39,1.22,,,
840,アッチソン,,,,,,,,,,,0.89
842,福田　聡志,,,,,,2.07,1.94,0.94,1.58,1.20,1.32
843,コーディエ,,,,2.11,,,,,,,
844,ミゲル・メヒア,,,,,3.55,,,,,,
845,陽　耀勲,,,,,,,,0.98,,1.56,1.86
846,ビロウ,,,,,5.25,,,,,,
847,川原　弘之,,,,,,,1.00,0.33,,,
848,福盛　和男,,,,,,,,,,7.00,1.21
850,バルデス,,,1.27,1.28,1.25,,,,,1.52,
851,清水　昭信,,,,,,,1.50,,,1.31,1.93
852,許　銘傑,,,,,,,,,,1.48,1.56
853,スタルツ,,,,,,,,,,1.57,
854,ボーグルソン,,,,,,,,,,,1.32
855,加藤　武治,,,,,,,,,,1.25,1.82
856,鈴木　優,,,,6.0,6.00,,,,,,
859,仁藤　拓馬,,,,,,,,,,,3.00
861,ホールトン,,,,,,,1.13,1.01,0.97,1.54,1.05
863,安部　建輝,,,,,1.29,1.93,3.00,,,,
865,ミルズ,,,,,,,3.00,,,,
866,小野　淳平,,,,1.36,,1.50,1.47,1.18,1.56,,
869,正田　樹,,,,,,,1.09,1.42,,,
871,阿部　健太,,,,,,2.30,1.20,1.20,,,1.58
872,松本　幸大,,,,,,,2.75,2.57,,2.23,4.88
873,岡島　秀樹,,,,,1.91,1.08,,0.84,,,
874,藤原　良平,,,1.46,1.08,1.59,1.61,2.00,4.71,1.3,,
878,秋親,,,,,,,,,,1.63,
880,バース,,,,1.44,,,,,,,
881,弦本　悠希,,,,,,,,,2.25,,
885,大塚　豊,,,,,1.33,1.60,1.55,,2.45,,
886,アラウホ,,,1.44,,,,,,,,
887,藤田　太陽,,,,,,,1.02,2.73,1.43,1.09,
888,木下　達生,,,,,,,,,2.0,,
889,戸田　亮,,,,,,,2.06,,,,
890,ファンミル,,,,,,1.62,,,,,
892,川井　雄太,,,,,,,,,1.19,1.40,1.32
893,松永　浩典,,,,,,,,1.25,0.95,2.18,1.55
894,神内　靖,,,,,,,1.90,1.05,2.4,1.44,1.38
895,シュリッター,,,1.37,,,,,,,,
897,安樂　智大,,,1.51,1.2,1.17,,,,,,
898,篠田　純平,,,,,,1.45,2.60,1.81,1.3,1.50,0.93
899,フェルナンデス,,,,,,,,1.89,,,
901,桜井　俊貴,,,1.59,2.31,,,,,,,
902,福地　元春,,,,2.55,1.79,,,,,,
904,久保　康友,,,1.62,1.35,1.28,1.32,1.21,1.15,1.31,1.13,1.26
905,オスカル,,,0.60,1.72,,,,,,,
