,登録名,チーム2018,勝利2018,勝利2017,勝利2016,勝利2015,勝利2014,勝利2013,勝利2012,勝利2011,勝利2010,勝利2009
394,菊地　正法,,,,,,,,,,,0.0
396,広池　浩司,,,,,,,,,,0.0,
397,相原　勝幸,,,,,,,,,,0.0,
399,高橋　聡文,,,,,3.0,0.0,2.0,0.0,0.0,4.0,2.0
400,大久保　勝信,,,,,,,,,,0.0,2.0
402,三瀬　幸司,,,,,,0.0,1.0,0.0,1.0,,0.0
404,久古　健太郎,,,0.0,0.0,0.0,1.0,2.0,0.0,5.0,,
405,リズ,,,,0.0,,,,,,,
406,平井　正史,,,,,,0.0,0.0,0.0,1.0,2.0,0.0
407,加賀美　希昇,,,,,,0.0,1.0,3.0,1.0,,
409,西村　健太朗,,,0.0,0.0,0.0,4.0,4.0,3.0,7.0,4.0,2.0
411,オンドルセク,,,,3.0,5.0,,,,,,
413,河原　純一,,,,,,,,,1.0,0.0,3.0
414,河野　秀数,,,,,,1.0,0.0,,,,
415,牧田　和久,,,3.0,7.0,9.0,8.0,8.0,13.0,5.0,,
417,大原　慎司,,,,0.0,0.0,3.0,2.0,1.0,4.0,,
418,スタンリッジ,,,4.0,8.0,10.0,11.0,8.0,7.0,9.0,11.0,
419,矢地　健人,,,,,0.0,,0.0,0.0,0.0,0.0,
420,伊藤　拓郎,,,,,,,,0.0,,,
421,榎下　陽大,,,0.0,1.0,,0.0,1.0,,0.0,,
422,古谷　拓哉,,,,0.0,3.0,7.0,9.0,0.0,1.0,3.0,0.0
423,森本　将太,,,,,0.0,,2.0,,,,
424,根本　朋久,,,,,,,0.0,0.0,0.0,0.0,1.0
426,小野　晋吾,,,,,,,,2.0,4.0,5.0,8.0
427,雄太,,,,0.0,0.0,6.0,1.0,3.0,,,
431,森　跳二,,,,,,,,,,0.0,1.0
433,西口　文也,,,,,0.0,0.0,0.0,5.0,11.0,3.0,4.0
435,高井　雄平,,,,,,,,,,,0.0
437,土田　瑞起,,,,0.0,1.0,1.0,,,,,
438,小林　賢司,,,,,,,,,,,0.0
439,寺田　哲也,,,,0.0,0.0,,,,,,
440,大場　達也,,,,,,,0.0,,,,
441,Ｍ．中村,,,,,,,,,,,1.0
445,サターホワイト,,,,1.0,,,,,,,
446,鎌田　祐哉,,,,,,,,,,,0.0
447,バレット,,,,,,,,,,,0.0
449,橋本　義隆,,,,,,,,0.0,0.0,1.0,0.0
450,建山　義紀,,,,,,0.0,,,,1.0,5.0
451,岩見　優輝,,,,,,,0.0,,1.0,,
452,神内　靖,,,,,,,0.0,0.0,0.0,0.0,2.0
454,若松　駿太,,,1.0,7.0,10.0,0.0,,,,,
455,山岸　穣,,,,,,,,,0.0,0.0,0.0
456,高橋　建,,,,,,,,,,4.0,
457,佐藤　勇,,,,1.0,,,,,,,
459,小山　雄輝,,,0.0,0.0,0.0,6.0,0.0,2.0,0.0,,
460,フィリップス,,,,,,1.0,,,,,
463,グラマン,,,,,,,,,2.0,0.0,0.0
467,福田　聡志,,,,,,0.0,1.0,8.0,0.0,3.0,2.0
468,金伏　ウーゴ,,,,,0.0,,,,,,
469,カストロ,,,,,,,,0.0,,,
471,赤川　克紀,,,,,,0.0,0.0,8.0,6.0,0.0,0.0
473,江草　仁貴,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
474,弥太郎,,,,,,,,,,1.0,
475,清原　大貴,,,,,,,0.0,,0.0,,
476,ブラゾバン,,,,,,,,,0.0,,
480,高木　啓充,,,,,,,,,,0.0,4.0
481,高橋　徹,,,,,,,,,,0.0,
482,植松　優友,,,,,0.0,,,,,,
485,岡島　秀樹,,,,,0.0,4.0,,0.0,,,
486,高橋　朋己,,,,,2.0,2.0,1.0,,,,
487,ミルズ,,,,,,,0.0,,,,
488,有銘　兼久,,,,,,,,0.0,1.0,0.0,0.0
490,柳瀬　明宏,,,0.0,0.0,1.0,1.0,4.0,,,,0.0
492,パヤノ,,,,,,0.0,,,,,2.0
497,ホールトン,,,,,,,9.0,12.0,19.0,8.0,11.0
498,小林　寛,,,0.0,0.0,0.0,,2.0,,0.0,,
499,高崎　健太郎,,,0.0,,2.0,2.0,2.0,7.0,5.0,1.0,4.0
501,コラレス,,,0.0,,,,,,,,
502,服部　泰卓,,,,,,0.0,2.0,,0.0,0.0,
505,仁藤　拓馬,,,,,,,,,,,0.0
507,マストニー,,,,,,,,,,,1.0
508,金森　敬之,,,,0.0,1.0,,,,,1.0,0.0
509,清水　昭信,,,,,,,0.0,,,1.0,0.0
510,工藤　公康,,,,,,,,,,0.0,2.0
512,ペニー,,,,,,,,0.0,,,
513,ロメロ,,,,,,,,,1.0,1.0,
514,メンドーサ,,,,,,7.0,,,,,
515,ザガースキー,,,,3.0,0.0,,,,,,
517,ネイラー,,,,1.0,4.0,,,,,,
518,エレラ,,,,,5.0,,,,,,
519,小宮山　悟,,,,,,,,,,,1.0
520,木田　優夫,,,,,,,,0.0,0.0,5.0,3.0
523,松井　光介,,,,,,,0.0,1.0,3.0,0.0,0.0
525,グウィン,,,,,,,,,,,3.0
526,トーレス,,,,,,,,,1.0,,
527,小林　敦,,,,,,,,,1.0,,
532,長田　秀一郎,,,,0.0,4.0,5.0,,2.0,0.0,5.0,0.0
533,藤井　秀悟,,,,,,,6.0,7.0,0.0,7.0,7.0
534,一場　靖弘,,,,,,,,,0.0,,1.0
538,熊原　健人,,,3.0,1.0,,,,,,,
539,木村　優太,,,,0.0,1.0,0.0,,,,,
541,誠,,,0.0,0.0,,0.0,,,,,
542,萬谷　康平,,,,,1.0,1.0,,,,,
543,陽　耀勲,,,,,,,,2.0,,2.0,0.0
546,山本　徹矢,,,,,,,,,0.0,,
547,ブランドン,,,,,,,,2.0,1.0,,
548,李　恵踐,,,,,,,,,,0.0,1.0
549,木塚　敦志,,,,,,,,,,0.0,3.0
550,松山　傑,,,,,,,,,,0.0,
553,竹下　真吾,,,,0.0,,,,,,,
554,ヒメネス,,,,,,,,5.0,1.0,,
559,鈴木　翔太,,,5.0,,0.0,0.0,,,,,
560,アラウホ,,,1.0,,,,,,,,
561,高堀　和也,,,,,,,1.0,3.0,,,
562,藤田　宗一,,,,,,,,,0.0,,1.0
563,横山　道哉,,,,,,,,,,,0.0
564,サンティアゴ,,,,,1.0,,,,,,
566,バンヘッケン,,,,0.0,,,,,,,
567,福　敬登,,,0.0,1.0,,,,,,,
569,高橋　尚成,,,,,0.0,,,,,,10.0
570,梅津　智弘,,,,,,0.0,0.0,0.0,3.0,0.0,2.0
571,藪　恵壹,,,,,,,,,,0.0,
572,塚原　頌平,,,0.0,4.0,0.0,,,1.0,,,
573,土屋　健二,,,,,,0.0,2.0,0.0,,0.0,
574,石川　俊介,,,,,,,,,,0.0,0.0
577,金澤　健人,,,,,,,2.0,1.0,1.0,1.0,0.0
579,小林正,,,,,,,,2.0,,,
584,金平　将至,,,,0.0,0.0,0.0,,,,,
585,大谷　翔平,,,3.0,10.0,15.0,11.0,3.0,,,,
586,井坂　亮平,,,,,,,,,3.0,2.0,2.0
587,山本　雅士,,,,,0.0,,,,,,
588,日高　亮,,,,,,,0.0,3.0,2.0,,
589,小松　聖,,,,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0
590,山崎　康晃,,,,,2.0,,,,,,
592,宮田　和希,,,,,1.0,0.0,,0.0,,0.0,0.0
593,ギルメット,,,1.0,,,,,,,,
594,クルーン,,,,,,,,,,4.0,1.0
595,ルーキ,,,4.0,6.0,,,,,,,
598,水野　滉也,,,0.0,,,,,,,,
599,杉山　直久,,,,,,,,,,0.0,0.0
600,岩崎　哲也,,,,,,,,,0.0,0.0,2.0
602,星野　智樹,,,,,,,0.0,0.0,0.0,0.0,1.0
604,吉川　輝昭,,,,,,,2.0,0.0,0.0,0.0,0.0
605,呉　昇桓,,,,,2.0,2.0,,,,,
606,ダービン,,,,,,,,,,0.0,
607,斎藤　隆,,,,,0.0,1.0,3.0,,,,
608,福倉　健太郎,,,0.0,,0.0,,,,,,
612,伊原　正樹,,,,,,,,,0.0,0.0,0.0
613,藤原　紘通,,,,,,,,,0.0,1.0,5.0
614,ナーブソン,,,,,,4.0,,,,,
615,マシス,,,,,,,,1.0,,,
617,土肥　義弘,,,,,,,,,,0.0,0.0
618,石井　一久,,,,,,,0.0,10.0,6.0,9.0,9.0
620,レスター,,,,,,,,,,2.0,0.0
621,萩原　淳,,,,,,,,,,,1.0
623,小林　正人,,,,,,0.0,0.0,,5.0,0.0,3.0
625,モスコーソ,,,,5.0,3.0,9.0,,,,,
627,上野　大樹,,,,,1.0,2.0,3.0,0.0,4.0,0.0,1.0
629,福田　岳洋,,,,,,,0.0,0.0,,0.0,
630,ＭＩＣＨＥＡＬ,,,,,,,,0.0,1.0,1.0,
632,佐藤　誠,,,,,,,,,,,1.0
633,秦　裕二,,,,,,,,,,1.0,
634,福盛　和男,,,,,,,,,,0.0,7.0
635,マクレーン,,,,,,,,5.0,3.0,,
636,ファンミル,,,,,,0.0,,,,,
637,ボイヤー,,,,,,,3.0,,,,
638,Ｃ．Ｃ．リー,,,,0.0,,,,,,,
639,徳山　武陽,,,,0.0,2.0,1.0,,,,,
640,藤田　太陽,,,,,,,0.0,0.0,0.0,6.0,
641,スタルツ,,,,,,,,,,6.0,
642,岩田　慎司,,,,0.0,0.0,2.0,1.0,5.0,0.0,1.0,
643,ベイル,,,,,,,,,,0.0,
645,桜井　俊貴,,,0.0,0.0,,,,,,,
646,木谷　寿巳,,,,,,,,,,1.0,1.0
648,吉原　正平,,,,,,1.0,,,,,
649,オセゲラ,,,,,,0.0,3.0,,,,
650,田面　巧二郎,,,,0.0,,,,,,,
651,香月　良太,,,,,0.0,3.0,0.0,1.0,1.0,3.0,3.0
652,角屋　龍太,,,,0.0,,,,,,,
653,ウィリアムス,,,,,,6.0,1.0,4.0,,,1.0
654,グリン,,,,,,,,,,,3.0
656,金剛　弘樹,,,,,,,,,,0.0,
657,江村　将也,,,,,,0.0,3.0,,,,
658,梶本　達哉,,,,,,,,,0.0,,
659,ベイリス,,,,,,,,,,,0.0
661,阿知羅　拓馬,,,0.0,0.0,,,,,,,
662,森内　壽春,,,,,0.0,0.0,0.0,0.0,,,
663,松永　浩典,,,,,,,,2.0,1.0,0.0,1.0
664,デラバー,,,,0.0,,,,,,,
665,小山　伸一郎,,,,,0.0,1.0,1.0,1.0,8.0,5.0,1.0
668,東野　峻,,,,,0.0,,1.0,0.0,8.0,13.0,8.0
669,上野　弘文,,,,,,0.0,2.0,,2.0,1.0,0.0
670,深田　拓也,,,,,,,,,,,0.0
671,ラズナー,,,,,,,1.0,1.0,3.0,5.0,4.0
672,甲藤　啓介,,,,,,,,0.0,,2.0,0.0
673,朝倉　健太,,,,,0.0,4.0,0.0,0.0,0.0,3.0,10.0
674,宮﨑　敦次,,,0.0,0.0,,,,,,,
675,辻　孟彦,,,,,,,0.0,,,,
676,野間口　貴彦,,,,,,,,0.0,1.0,1.0,0.0
677,カブレラ,,,,,,5.0,6.0,,,,
682,高木　晃次,,,,,,,,,,,0.0
686,丸山　貴史,,,,,,,,,,,0.0
687,中﨑　雄太,,,,0.0,,,,,,,
689,牛田　成樹,,,,,,,,0.0,2.0,2.0,0.0
690,ライブリー,,,,,0.0,,,,,,
691,宮本　賢,,,,,,,,,,0.0,0.0
692,スウィーニー,,,,,,,,,,,5.0
696,高島　祥平,,,,,,,,,,0.0,
698,佐藤　達也,,,0.0,1.0,2.0,6.0,2.0,0.0,,,
699,スパイアー,,,,,,,,,1.0,,
701,青木　高広,,,,,,2.0,5.0,,2.0,1.0,2.0
703,二神　一人,,,,,0.0,0.0,,0.0,,,
704,吉見　祐治,,,,,,,0.0,1.0,1.0,,3.0
706,カーペンター,,,,,,1.0,,,,,
707,藤原　正典,,,,,,,0.0,0.0,0.0,1.0,
708,ソコロビッチ,,,,,,,0.0,,,,
709,秋親,,,,,,,,,,1.0,
710,吉川　昌宏,,,,,,,,,,0.0,0.0
712,竹安　大知,,,1.0,,,,,,,,
714,赤間　謙,,,1.0,0.0,,,,,,,
715,床田　寛樹,,,1.0,,,,,,,,
716,井上　公志,,,,,,,1.0,,,,
717,田中　英祐,,,,,0.0,,,,,,
718,篠田　純平,,,,,,3.0,0.0,1.0,5.0,6.0,2.0
719,桟原　将司,,,,,,,,,,0.0,0.0
720,阿部　健太,,,,,,0.0,1.0,0.0,,,0.0
722,川原　弘之,,,,,,,0.0,0.0,,,
725,巽　真悟,,,,,1.0,0.0,0.0,0.0,,0.0,0.0
728,ブリガム,,,,0.0,,,,,,,
729,江尻　慎太郎,,,,,,0.0,1.0,0.0,2.0,,2.0
730,松崎　伸吾,,,,,,,,,0.0,1.0,0.0
731,髙橋　純平,,,0.0,,,,,,,,
732,國場　翼,,,,0.0,,,,,,,
734,大場　翔太,,,,,,0.0,2.0,2.0,7.0,0.0,1.0
735,花田　真人,,,,,,,,,,,0.0
736,星野　大地,,,,,,0.0,0.0,,,,
737,田中　将大,,,,,,,24.0,10.0,19.0,11.0,15.0
738,セドン,,,,,,4.0,,,,,
739,福原　忍,,,,0.0,6.0,4.0,4.0,2.0,2.0,0.0,3.0
740,大田　阿斗里,,,,0.0,,0.0,2.0,,,,
741,加藤　武治,,,,,,,,,,0.0,0.0
743,歳内　宏明,,,,0.0,1.0,1.0,0.0,0.0,,,
744,川島　亮,,,,,,,,,0.0,1.0,5.0
747,佐藤　峻一,,,,0.0,,,,,,,
748,安樂　智大,,,1.0,3.0,1.0,,,,,,
749,岡本　直也,,,,,,,,,0.0,,
750,ガラテ,,,,,3.0,,,,,,
752,土肥　寛昌,,,0.0,0.0,,,,,,,
753,長谷部　康平,,,,0.0,0.0,0.0,1.0,,1.0,3.0,5.0
754,ヘーゲンズ,,,0.0,7.0,,,,,,,
756,マエストリ,,,,,0.0,3.0,7.0,4.0,,,
757,川岸　強,,,,,,,,,1.0,2.0,4.0
759,クレイマー,,,,,,,,0.0,,,
760,帆足　和幸,,,,,1.0,6.0,8.0,0.0,9.0,11.0,9.0
761,小笠原　孝,,,,,,,,0.0,0.0,1.0,7.0
762,小椋　真介,,,,,,,,,,4.0,0.0
763,玉置　隆,,,,,0.0,0.0,0.0,,,,
764,西原　圭大,,,,0.0,0.0,0.0,,,,,
770,金刃　憲人,,,0.0,3.0,2.0,0.0,1.0,,2.0,1.0,1.0
771,チルダース,,,,,,,,,,,0.0
772,土本　恭平,,,,,,,,,,0.0,
773,東條　大樹,,,0.0,0.0,,,,,,,
774,ガルセス,,,2.0,,,,,,,,
775,大島　崇行,,,,,,,,0.0,0.0,1.0,0.0
776,下柳　剛,,,,,,,,0.0,0.0,7.0,8.0
777,ブラックリー,,,,,,1.0,,,,,
779,ウォーランド,,,,,,,,,,,5.0
782,ラルー,,,,,,,0.0,,,,
783,本柳　和也,,,,,,,,,,,0.0
785,矢貫　俊之,,,,0.0,,2.0,2.0,1.0,0.0,1.0,
786,ダックワース,,,,,,,5.0,3.0,,,
787,小澤　怜史,,,0.0,,,,,,,,
788,西村　憲,,,,,,,0.0,,1.0,7.0,0.0
790,カルロス・ロサ,,,,,1.0,1.0,0.0,0.0,3.0,,
791,柳川　洋平,,,,,,,,,0.0,,
792,ミコライオ,,,,5.0,,1.0,2.0,3.0,,,
794,岡本　秀寛,,,,,,,,,,,0.0
795,髙木　伴,,,,0.0,,,,,,,
796,フィガロ,,,,,,,,0.0,8.0,,
797,金村　曉,,,,,,,,,,0.0,1.0
798,西川　雅人,,,,,,,,0.0,0.0,0.0,0.0
799,ハミルトン,,,,,,,,0.0,1.0,,
801,コーディエ,,,,0.0,,,,,,,
803,黄　志龍,,,,,,,,,,0.0,
804,林　イー豪,,,,,,,,,,0.0,
806,平野　佳寿,,,3.0,4.0,0.0,1.0,2.0,7.0,6.0,7.0,3.0
809,レイ,,,,0.0,5.0,,0.0,,,,
813,加藤　康介,,,,,0.0,3.0,1.0,0.0,0.0,0.0,1.0
814,デラクルス,,,,,,,,,,0.0,
815,リーチ,,,,,,,,,1.0,,
816,成瀬　善久,,,0.0,3.0,3.0,9.0,6.0,12.0,10.0,13.0,11.0
817,ペトリック,,,,3.0,,,,,,,
819,西崎　聡,,,,,,,,,,,0.0
820,永井　怜,,,,,0.0,0.0,2.0,1.0,4.0,10.0,13.0
821,小林　宏之,,,,,,,,,,,4.0
824,那須野　巧,,,,,,,,,,,0.0
826,林　昌範,,,,,1.0,2.0,0.0,0.0,0.0,2.0,3.0
829,レイノルズ,,,,,,3.0,,,,,
830,七條　祐樹,,,,,,2.0,0.0,2.0,4.0,,
831,相沢　晋,,,,,0.0,,,,,,
833,ロドリゲス,,,,,,,,,,,
836,木村　文紀,,,,,,,,0.0,1.0,,
840,クロッタ,,,,,2.0,4.0,,,,,
841,ウエスト,,,0.0,,,,,,,,
842,八木　智哉,,,1.0,0.0,4.0,0.0,0.0,6.0,1.0,1.0,9.0
843,増渕　竜義,,,,,,,0.0,2.0,7.0,2.0,0.0
844,小山田　保裕,,,,,,,,,,,0.0
845,安部　建輝,,,,,0.0,0.0,0.0,,,,
846,コーク,,,2.0,,,,,,,,
847,バスケス,,,,0.0,3.0,,,,,,
848,オーレンドルフ,,,0.0,,,,,,,,
850,伊藤　義弘,,,,,0.0,1.0,1.0,0.0,1.0,1.0,2.0
851,正津　英志,,,,,,,,,,,0.0
853,石橋　良太,,,,0.0,,,,,,,
856,小杉　陽太,,,,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0
857,山本　省吾,,,,,,,0.0,1.0,2.0,8.0,9.0
859,ポレダ,,,,1.0,8.0,,,,,,
860,中崎　雄太,,,,,,,0.0,,,,
861,ピント,,,,,,,,1.0,,,
863,アッチソン,,,,,,,,,,,5.0
865,新垣　渚,,,,1.0,3.0,0.0,1.0,6.0,,,0.0
866,横山　貴明,,,,0.0,0.0,1.0,,,,,
869,岸本　秀樹,,,,,,,,0.0,3.0,1.0,
870,上野　貴久,,,,,,,,,,0.0,
871,屋宜　照悟,,,0.0,,2.0,,1.0,,,,
872,野村　亮介,,,,,0.0,,,,,,
874,金子　丈,,,,0.0,0.0,,,,,,
875,川井　雄太,,,,,,,,,5.0,1.0,11.0
876,豊田　清,,,,,,,,,2.0,1.0,2.0
877,コーコラン,,,,,,,1.0,,,,
878,ペレス,,,,2.0,,,,,,,
879,齊藤　勝,,,,,,0.0,0.0,,,,
880,前田　健太,,,,,15.0,11.0,15.0,14.0,10.0,15.0,8.0
882,濱田　達郎,,,,0.0,0.0,5.0,,,,,
883,木村　文和,,,,,,,,,,,0.0
884,島袋　洋奨,,,,,0.0,,,,,,
885,シュルツ,,,,,,,0.0,,0.0,0.0,5.0
886,ドーマン,,,,,,,,,,,0.0
889,運天　ジョン・クレイトン,,,,,,,,,0.0,,
891,上園　啓史,,,,,,0.0,0.0,0.0,,3.0,0.0
892,松本　輝,,,,,,,,,,0.0,0.0
900,バルデス,,,6.0,6.0,5.0,,,,,1.0,
901,岩隈　久志,,,,,,,,,6.0,10.0,13.0
903,青木　勇人,,,,,,,,,,0.0,0.0
904,金　無英,,,,0.0,,1.0,0.0,1.0,0.0,,0.0
